tf.Tensor(51, shape=(), dtype=int64) tf.Tensor(13.679844, shape=(), dtype=float32) 0.793
tf.Tensor(52, shape=(), dtype=int64) tf.Tensor(14.508521, shape=(), dtype=float32) 0.785
tf.Tensor(53, shape=(), dtype=int64) tf.Tensor(15.4439, shape=(), dtype=float32) 0.765
tf.Tensor(54, shape=(), dtype=int64) tf.Tensor(16.32712, shape=(), dtype=float32) 0.786
tf.Tensor(55, shape=(), dtype=int64) tf.Tensor(15.847243, shape=(), dtype=float32) 0.783
tf.Tensor(56, shape=(), dtype=int64) tf.Tensor(16.073393, shape=(), dtype=float32) 0.778
tf.Tensor(57, shape=(), dtype=int64) tf.Tensor(16.444092, shape=(), dtype=float32) 0.778
tf.Tensor(58, shape=(), dtype=int64) tf.Tensor(15.000959, shape=(), dtype=float32) 0.768
tf.Tensor(59, shape=(), dtype=int64) tf.Tensor(13.934807, shape=(), dtype=float32) 0.787
Epoch 001: Loss: 16.876, Accuracy: 77.358%
tf.Tensor(0, shape=(), dtype=int64) tf.Tensor(15.022899, shape=(), dtype=float32) 0.773
tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(15.204473, shape=(), dtype=float32) 0.776
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(11.925494, shape=(), dtype=float32) 0.804
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(13.38219, shape=(), dtype=float32) 0.79
tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(12.9042635, shape=(), dtype=float32) 0.787
tf.Tensor(5, shape=(), dtype=int64) tf.Tensor(14.881506, shape=(), dtype=float32) 0.79
tf.Tensor(6, shape=(), dtype=int64) tf.Tensor(14.189153, shape=(), dtype=float32) 0.805
tf.Tensor(7, shape=(), dtype=int64) tf.Tensor(13.229632, shape=(), dtype=float32) 0.795
tf.Tensor(8, shape=(), dtype=int64) tf.Tensor(14.065387, shape=(), dtype=float32) 0.778
tf.Tensor(9, shape=(), dtype=int64) tf.Tensor(12.464453, shape=(), dtype=float32) 0.804
tf.Tensor(10, shape=(), dtype=int64) tf.Tensor(13.284387, shape=(), dtype=float32) 0.789
tf.Tensor(11, shape=(), dtype=int64) tf.Tensor(11.214523, shape=(), dtype=float32) 0.801
tf.Tensor(12, shape=(), dtype=int64) tf.Tensor(14.329778, shape=(), dtype=float32) 0.773
tf.Tensor(13, shape=(), dtype=int64) tf.Tensor(13.934952, shape=(), dtype=float32) 0.778
